Name,Ball_intercept_defensive,Ball_Intercept_midfield,Ball_intercept_attacking,Ball_interccept_total,Lost_ball_dribbling,Lost_ball_recieveing_ground,Lost_ball_recieveing_air,Lost_ball_total,Lost_ball_defence,Lost_ball_midfield,Lost_ball_attacking,Lost_ball_total,fight_win_defensive,fight_win_midfield,fight_win_attacking,fight_win_total,fight_lost_defensive,fight_lost_midfield,fight_lost_attacking,fight_lost_total,Minutes_on_field,Accurate_passes_defensiveZone,Inaccurate_passes_defensiveZone,Percent_Accurate_passes_defensiveZone,Accurate_passes_MidfieldZone,Inaccurate_passes_MidfieldZone,Percent_Accurate_passes_MidfieldZone,Accurate_passes_AttackingZone,InAccurate_passes_AttackingZone,Percent_Accurate_passes_AttackingZone,Accurate_passes_forwardDir,InAccurate_passes_forwardDir,Percent_Accurate_passes_forwardDir,Accurate_passes_across,InAccurate_passes_across,Percent_Accurate_passes_across,Accurate_passes_Back,InAccurate_passes_Back,Percent_Accurate_passes_Back,Accurate_passes_Short (1-5),InAccurate_passes_Short(1-5),Percent_Accurate_passes_Short(1-5),Accurate_passes_Medium (6-10),InAccurate_passes_Medium (6-10),Percent_Accurate_passes_Medium (6-10),Accurate_passes_Long(>10),InAccurate_passes_Long(>10),Percent_Accurate_passes_Long(>10),Accurate_passes_Total,InAccurate_passes_Total,Percent_Accurate_passes_Total,Total shots,Shots_within_6m,Shptt_6to10m,Shots_far_distance,Shots_on_goal,Shots_on_post,Shots_off_goal,Shots_blocked,Goals_from_game,Goals_from_freekick,Goals_from_corners,first_assist,Second_assist,Goal_within6m,Goal_medium_distance,Goals_far_distance,Shots_blocked,Goals_Plus,Goals_Minus,Goals_plus_minus
Edgars Andrejevs,140,3,0,143,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,497,425,63,0.871,8,4,0.667,0,0,0,244,62,0.797,188,5,0.974,1,0,1,88,3,0.967,152,7,0.956,193,57,0.772,433,67,0.866,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,50,-39,11
Emils Dobrajs,21,1,0,22,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,126,60,7,0.896,2,0,1,0,0,0,39,7,0.848,23,0,1,0,0,0,17,0,0.901,28,0,1,17,7,0.708,62,7,0.899,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,-5,2
Kristaps Stankevic,30,44,2,76,20,22,14,56,5,42,9,56,20,26,3,49,16,31,2,49,236,104,26,0.8,334,44,0.884,40,10,0.8,108,50,0.684,277,25,0.917,93,5,0.949,102,17,1,242,33,0.88,134,30,0.817,478,80,0.857,14,3,9,2,5,0,2,7,1,0,0,2,1,1,0,0,14,14,-19,-5
Kristaps Balcuns,17,22,1,40,12,13,5,30,3,19,8,30,14,29,0,43,8,21,5,34,218,77,20,0.79,250,45,0.847,38,12,0.76,76,43,0.639,191,25,0.884,98,9,0.916,82,9,0.901,169,30,0.849,114,38,0.75,365,77,0.826,32,8,7,17,6,1,15,10,0,0,1,1,2,1,0,0,9,13,-13,0
Elgar Ludborzs,21,32,2,55,9,7,3,19,2,12,5,19,13,24,3,40,9,24,1,34,122,70,38,0.648,142,42,0.772,15,4,0.789,65,63,0.508,120,17,0.876,42,4,0.913,58,7,0.769,97,37,0.724,72,40,0.643,227,84,0.73,16,0,8,8,7,1,5,3,0,0,0,0,1,0,0,0,8,8,-10,-2
Pavels Zagrebins,28,51,5,84,22,33,20,75,5,46,24,75,18,75,19,112,8,42,14,64,254,37,6,0.86,274,16,0.945,69,11,0.863,37,16,0.698,177,12,0.937,166,5,0.971,152,9,0.892,173,14,0.925,55,10,0.846,380,33,0.92,53,17,29,7,28,1,11,13,8,0,0,1,0,4,3,1,19,17,-24,-7
Mark Puhalskis,17,22,4,43,33,11,3,47,7,21,19,47,12,15,2,29,7,15,6,28,94,34,17,0.667,111,31,0.782,47,9,0.839,62,34,0.646,81,20,0.802,49,3,0.942,56,7,0.908,92,30,0.754,44,20,0.688,192,57,0.771,21,12,6,3,15,1,5,0,4,0,0,4,2,3,1,0,5,16,-7,9
Arturs Mahitarjans,65,83,6,154,61,31,11,103,10,67,26,103,51,59,13,123,15,33,14,62,250,102,25,0.803,350,58,0.858,100,20,0.833,131,52,0.716,270,40,0.871,151,11,0.932,164,18,0.901,285,55,0.838,103,30,0.774,552,103,0.843,122,22,68,32,52,8,27,35,12,0,1,4,4,4,6,3,18,40,-25,15
Alberts Mahitarjans,38,71,11,120,30,18,19,67,6,39,22,67,27,57,11,95,18,42,13,73,244,90,25,0.783,360,61,0.855,107,30,0.781,154,72,0.681,245,37,0.869,158,7,0.958,177,18,1,298,59,0.835,82,39,0.678,557,116,0.828,72,14,32,26,26,2,17,27,5,0,1,9,4,2,3,1,22,39,-24,15
Edgar Strautins,27,64,4,95,46,20,10,76,1,48,27,76,12,55,5,72,2,35,7,44,218,47,17,0.734,256,50,0.837,72,22,0.766,91,44,0.674,187,37,0.835,97,8,0.924,128,14,0.857,174,45,0.795,73,30,0.709,375,89,0.808,132,20,53,59,48,6,49,29,13,3,0,7,1,8,6,2,16,37,-13,24
Shota Giorgadze,7,24,0,31,12,8,4,24,3,17,4,24,9,17,0,26,10,12,1,23,114,46,17,0.73,106,30,0.779,7,6,0.538,50,40,0.556,79,13,0.859,30,0,1,51,6,0.844,85,22,0.794,23,25,0.479,159,53,0.75,9,0,3,6,2,1,5,1,0,0,0,2,0,0,0,1,7,6,-14,-8
Zanis Pinka,30,57,2,89,42,11,4,57,9,33,15,57,19,35,4,58,23,37,4,64,214,158,51,0.756,349,77,0.819,52,18,0.743,192,111,0.634,269,26,0.912,98,9,0.916,119,22,0.889,273,52,0.84,167,72,0.699,559,146,0.793,57,3,28,26,22,1,18,16,3,1,1,6,3,1,3,1,24,25,-9,16
Andrejs Kravcenkovs,4,4,1,9,3,3,2,8,0,7,1,8,5,6,1,12,4,8,1,13,36,1,2,0.333,30,8,0.789,6,4,0.6,6,9,0.4,19,5,0.792,12,0,1,10,3,0.865,24,8,0.75,3,3,0.5,37,14,0.725,6,0,6,0,1,0,2,3,1,0,0,1,1,0,1,0,3,4,-3,1
Raimonds Pavulins,2,1,1,4,0,3,0,3,0,2,1,3,1,1,0,2,0,1,0,1,8,4,0,1,12,1,0.923,2,0,1,6,0,1,9,1,0.9,3,0,1,5,0,0.857,7,1,0.875,6,0,1,18,1,0.947,3,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Nikolas Petriga,4,12,0,16,3,6,1,10,1,7,2,10,3,4,0,7,1,4,1,6,34,15,2,0.882,27,5,0.844,9,4,0.692,9,4,0.692,25,6,0.806,17,1,0.944,18,3,0.901,24,6,0.8,9,2,0.818,51,11,0.823,6,1,2,3,3,0,1,2,0,0,0,1,0,0,0,0,1,2,-1,1
Aleksandrs Radcenko,20,33,1,54,17,4,6,27,5,12,10,27,14,21,2,37,17,15,2,34,146,82,24,0.774,275,60,0.821,36,12,0.75,150,69,0.685,185,24,0.885,58,3,0.951,90,14,0.944,209,47,0.816,94,35,0.729,393,96,0.804,30,1,9,20,10,1,9,10,1,0,0,3,1,0,0,1,14,7,-13,-6
